Pups: 95, Wolves: 73
Total configs: 41984
Unique configs: 14204
Step 109:        left=[39, 73], right=[56, 0]  (BOAT)
Step 110: (BOAT) left=[40, 73], right=[55, 0]
Step 111:        left=[38, 73], right=[57, 0]  (BOAT)
Step 112: (BOAT) left=[39, 73], right=[56, 0]
Step 113:        left=[37, 73], right=[58, 0]  (BOAT)
Step 114: (BOAT) left=[38, 73], right=[57, 0]
Step 115:        left=[36, 73], right=[59, 0]  (BOAT)
Step 116: (BOAT) left=[37, 73], right=[58, 0]
Step 117:        left=[35, 73], right=[60, 0]  (BOAT)
Step 118: (BOAT) left=[36, 73], right=[59, 0]
Step 119:        left=[34, 73], right=[61, 0]  (BOAT)
Step 120: (BOAT) left=[35, 73], right=[60, 0]
Step 121:        left=[33, 73], right=[62, 0]  (BOAT)
Step 122: (BOAT) left=[34, 73], right=[61, 0]
Step 123:        left=[32, 73], right=[63, 0]  (BOAT)
Step 124: (BOAT) left=[33, 73], right=[62, 0]
Step 125:        left=[31, 73], right=[64, 0]  (BOAT)
Step 126: (BOAT) left=[32, 73], right=[63, 0]
Step 127:        left=[30, 73], right=[65, 0]  (BOAT)
Step 128: (BOAT) left=[31, 73], right=[64, 0]
Step 129:        left=[29, 73], right=[66, 0]  (BOAT)
Step 130: (BOAT) left=[30, 73], right=[65, 0]
Step 131:        left=[28, 73], right=[67, 0]  (BOAT)
Step 132: (BOAT) left=[29, 73], right=[66, 0]
Step 133:        left=[27, 73], right=[68, 0]  (BOAT)
Step 134: (BOAT) left=[28, 73], right=[67, 0]
Step 135:        left=[26, 73], right=[69, 0]  (BOAT)
Step 136: (BOAT) left=[27, 73], right=[68, 0]
Step 137:        left=[25, 73], right=[70, 0]  (BOAT)
Step 138: (BOAT) left=[26, 73], right=[69, 0]
Step 139:        left=[24, 73], right=[71, 0]  (BOAT)
Step 140: (BOAT) left=[25, 73], right=[70, 0]
Step 141:        left=[23, 73], right=[72, 0]  (BOAT)
Step 142: (BOAT) left=[24, 73], right=[71, 0]
Step 143:        left=[22, 73], right=[73, 0]  (BOAT)
Step 144: (BOAT) left=[23, 73], right=[72, 0]
Step 145:        left=[21, 73], right=[74, 0]  (BOAT)
Step 146: (BOAT) left=[22, 73], right=[73, 0]
Step 147:        left=[20, 73], right=[75, 0]  (BOAT)
Step 148: (BOAT) left=[21, 73], right=[74, 0]
Step 149:        left=[19, 73], right=[76, 0]  (BOAT)
Step 150: (BOAT) left=[20, 73], right=[75, 0]
Step 151:        left=[18, 73], right=[77, 0]  (BOAT)
Step 152: (BOAT) left=[19, 73], right=[76, 0]
Step 153:        left=[17, 73], right=[78, 0]  (BOAT)
Step 154: (BOAT) left=[18, 73], right=[77, 0]
Step 155:        left=[16, 73], right=[79, 0]  (BOAT)
Step 156: (BOAT) left=[17, 73], right=[78, 0]
Step 157:        left=[15, 73], right=[80, 0]  (BOAT)
Step 158: (BOAT) left=[16, 73], right=[79, 0]
Step 159:        left=[14, 73], right=[81, 0]  (BOAT)
Step 160: (BOAT) left=[15, 73], right=[80, 0]
Step 161:        left=[13, 73], right=[82, 0]  (BOAT)
Step 162: (BOAT) left=[14, 73], right=[81, 0]
Step 163:        left=[12, 73], right=[83, 0]  (BOAT)
Step 164: (BOAT) left=[13, 73], right=[82, 0]
Step 165:        left=[11, 73], right=[84, 0]  (BOAT)
Step 166: (BOAT) left=[12, 73], right=[83, 0]
Step 167:        left=[10, 73], right=[85, 0]  (BOAT)
Step 168: (BOAT) left=[11, 73], right=[84, 0]
Step 169:        left=[9, 73], right=[86, 0]  (BOAT)
Step 170: (BOAT) left=[10, 73], right=[85, 0]
Step 171:        left=[8, 73], right=[87, 0]  (BOAT)
Step 172: (BOAT) left=[9, 73], right=[86, 0]
Step 173:        left=[7, 73], right=[88, 0]  (BOAT)
Step 174: (BOAT) left=[8, 73], right=[87, 0]
Step 175:        left=[6, 73], right=[89, 0]  (BOAT)
Step 176: (BOAT) left=[7, 73], right=[88, 0]
Step 177:        left=[5, 73], right=[90, 0]  (BOAT)
Step 178: (BOAT) left=[6, 73], right=[89, 0]
Step 179:        left=[4, 73], right=[91, 0]  (BOAT)
Step 180: (BOAT) left=[5, 73], right=[90, 0]
Step 181:        left=[3, 73], right=[92, 0]  (BOAT)
Step 182: (BOAT) left=[4, 73], right=[91, 0]
Step 183:        left=[2, 73], right=[93, 0]  (BOAT)
Step 184: (BOAT) left=[3, 73], right=[92, 0]
Step 185:        left=[1, 73], right=[94, 0]  (BOAT)
Step 186: (BOAT) left=[2, 73], right=[93, 0]
Step 187:        left=[0, 73], right=[95, 0]  (BOAT)
Step 188: (BOAT) left=[1, 73], right=[94, 0]
Step 189:        left=[1, 72], right=[94, 1]  (BOAT)
Step 190: (BOAT) left=[2, 72], right=[93, 1]
Step 191:        left=[0, 72], right=[95, 1]  (BOAT)
Step 192: (BOAT) left=[1, 72], right=[94, 1]
Step 193:        left=[1, 71], right=[94, 2]  (BOAT)
Step 194: (BOAT) left=[2, 71], right=[93, 2]
Step 195:        left=[0, 71], right=[95, 2]  (BOAT)
Step 196: (BOAT) left=[1, 71], right=[94, 2]
Step 197:        left=[1, 70], right=[94, 3]  (BOAT)
Step 198: (BOAT) left=[2, 70], right=[93, 3]
Step 199:        left=[0, 70], right=[95, 3]  (BOAT)
Step 200: (BOAT) left=[1, 70], right=[94, 3]
Step 201:        left=[1, 69], right=[94, 4]  (BOAT)
Step 202: (BOAT) left=[2, 69], right=[93, 4]
Step 203:        left=[0, 69], right=[95, 4]  (BOAT)
Step 204: (BOAT) left=[1, 69], right=[94, 4]
